building_area,roof_height,borough,construction_year,area_type,green_roof_area,clusters_5
1366,45,MN,1850,residential,76,3
14670,378,MN,1990,residential,1912,1
35714,15,BK,1990,residential,4412,0
9573,164,MN,1990,industrial,407,3
34017,83,MN,1990,commercial,2813,3
950,55,MN,1900,residential,10,3
55894,319,QN,1990,residential,10549,4
14762,282,MN,1990,industrial,1026,1
12208,138,MN,1900,residential,1936,3
1096,25,BK,1900,commercial,651,0
1342,60,MN,1900,residential,384,3
15877,49,BK,1990,residential,2411,0
14062,57,BK,1990,commercial,2407,0
13755,136,MN,1990,residential,1580,3
6057,75,BX,1930,residential,2164,0
33307,68,BK,1990,residential,502,0
49623,72,BK,1990,industrial,7004,0
62229,155,MN,1990,industrial,13361,4
10554,118,BX,1990,commercial,1681,0
2568,39,BX,1900,residential,1209,0
6008,148,MN,1930,residential,1458,3
723,39,BK,1900,commercial,55,0
12132,119,BK,1990,residential,527,0
8083,136,MN,1930,residential,160,3
1633,37,BK,1900,commercial,574,0
1501,43,MN,1900,residential,357,3
52079,122,MN,1930,residential,1396,3
5802,51,MN,1960,commercial,311,3
7161,79,BX,1990,industrial,1074,0
1496,67,MN,1990,residential,139,3
5673,105,MN,1900,residential,889,3
22476,188,MN,1960,commercial,404,3
26623,67,QN,1930,commercial,4458,0
2930,103,MN,1960,industrial,574,3
32592,25,BK,1930,commercial,1071,0
4259,91,MN,1900,public,271,3
2276,16,MN,1930,commercial,1125,3
16479,217,MN,1990,residential,2539,3
24645,506,MN,1990,commercial,4483,1
1166,44,MN,1850,commercial,109,3
1370,55,BK,1900,residential,235,0
2715,69,MN,1900,residential,270,3
11773,143,BK,1990,commercial,1852,0
30625,96,MN,1990,commercial,1675,3
2914,85,MN,1900,residential,1179,3
7406,79,MN,1900,commercial,1519,3
8054,124,MN,1900,industrial,1902,3
5636,31,BK,1900,residential,365,0
28794,340,MN,1990,industrial,3071,1
6622,66,BX,1990,residential,743,0
104089,185,QN,1990,residential,12907,2
25382,370,MN,1960,commercial,1650,1
1224,60,MN,1900,commercial,267,3
9729,248,MN,1990,residential,1481,3
7458,81,MN,1900,commercial,1295,3
5686,80,MN,1900,commercial,424,3
12035,227,MN,1900,commercial,776,3
4874,74,MN,1900,industrial,392,3
7036,96,BK,1960,commercial,2910,0
10512,17,MN,1900,residential,2290,3
1588,18,BK,1990,residential,160,0
10654,19,QN,1960,residential,6713,0
4116,52,BX,1930,industrial,2785,0
19697,83,MN,1900,residential,159,3
78619,393,QN,1990,residential,6672,1
7355,58,BX,1990,industrial,2694,0
1651,55,BK,1850,residential,178,0
4580,11,BK,1930,residential,1430,0
5084,14,BK,1930,residential,826,0
26073,353,MN,1990,residential,3893,1
1012,36,MN,1900,residential,193,3
1634,40,BK,1990,commercial,216,0
2202,63,MN,1850,residential,662,3
26766,90,QN,1990,residential,5832,0
5853,17,QN,1900,residential,2575,0
11516,98,MN,1900,industrial,249,3
19212,251,MN,1900,industrial,615,3
31241,41,BK,1930,residential,1016,0
738,57,BK,1990,industrial,34,0
5464,51,BX,1990,residential,487,0
14642,422,MN,1960,residential,1426,1
31661,597,MN,1900,residential,606,1
87601,117,QN,1960,commercial,13282,4
11049,157,MN,1900,commercial,242,3
1435,49,BK,1900,residential,261,0
28866,446,MN,1960,commercial,1286,1
2020,67,MN,1930,residential,358,3
34539,191,MN,1990,commercial,14651,4
6426,65,MN,1990,commercial,811,3
112685,35,BX,1960,residential,10032,2
32302,35,BK,1990,residential,15430,4
27699,263,QN,1990,industrial,1142,1
6453,131,QN,1930,industrial,377,0
27751,206,MN,1930,industrial,1383,3
22728,146,MN,1900,industrial,2555,3
7546,108,MN,1930,residential,686,3
3646,20,BK,1930,commercial,3025,0
11096,157,MN,1900,commercial,670,3
9616,144,MN,1990,residential,692,3
11563,90,MN,1990,commercial,1277,3
1121,39,MN,1850,commercial,133,3
18421,76,QN,1930,commercial,719,0
4151,73,MN,1900,residential,386,3
36070,214,MN,1960,industrial,1864,1
2438,68,MN,1990,residential,966,3
1371,69,MN,1900,residential,27,3
2552,65,MN,1900,residential,395,3
1449,33,BK,1900,residential,266,0
6389,378,MN,1960,residential,489,1
3404,85,MN,1900,residential,1491,3
21703,223,MN,1900,residential,2747,3
20184,627,BK,1990,commercial,554,1
3542,51,BK,1990,industrial,543,0
19801,318,MN,1960,commercial,2189,1
7258,30,MN,1900,residential,974,3
39351,192,MN,1960,residential,12724,4
20292,48,BX,1900,commercial,946,0
23096,355,MN,1990,commercial,3998,1
18658,256,MN,1990,residential,5096,1
14706,77,MN,1900,public,1377,3
1862,59,BX,1930,residential,959,0
100651,46,QN,1930,residential,11895,2
26061,147,MN,1990,commercial,767,3
17538,86,MN,1900,industrial,2623,3
11517,58,MN,1960,commercial,786,3
721,17,BK,1900,commercial,574,0
58522,291,MN,1960,residential,6141,1
944,50,MN,1900,residential,181,3
12510,25,BX,1930,residential,7239,0
7745,74,MN,1900,residential,1645,3
94646,216,MN,1990,industrial,28669,4
38129,425,MN,1990,industrial,1659,1
25084,53,BK,1930,commercial,5037,0
3925,138,MN,1990,residential,235,3
6721,82,MN,1900,residential,122,3
7962,60,BX,1900,commercial,298,0
43037,83,BX,1900,industrial,6283,0
27718,67,BK,1960,residential,406,0
2086,61,MN,1900,residential,1610,3
3588,89,MN,1900,residential,80,3
1526,59,MN,1990,residential,135,3
7220,153,MN,1900,residential,700,3
18742,248,MN,1990,commercial,1183,1
851,40,BK,1990,industrial,154,0
629,41,MN,1900,commercial,28,3
60505,480,MN,1930,residential,788,1
919,46,MN,1900,residential,206,3
32345,183,MN,1930,residential,3128,3
1707,59,MN,1990,commercial,135,3
725,50,MN,1850,residential,333,3
7784,153,MN,1960,commercial,570,3
42864,350,QN,1990,commercial,4487,1
8133,78,BX,1900,residential,1565,0
79527,35,BK,1960,commercial,8020,2
1370,56,BK,1990,residential,223,0
8514,75,MN,1990,residential,484,3
9176,140,MN,1990,residential,1177,3
1702,60,BX,1930,residential,847,0
10322,26,MN,1990,industrial,618,3
1886,59,BX,1900,industrial,1091,0
11857,303,MN,1990,commercial,980,1
21272,86,MN,1900,industrial,12761,4
13288,431,MN,1930,commercial,1930,1
10358,151,MN,1900,commercial,4463,3
36452,78,QN,1990,residential,1942,0
46783,272,MN,1930,commercial,773,1
1355,69,MN,1900,commercial,124,3
17176,44,BX,1900,industrial,1320,0
1172,44,BK,1850,commercial,201,0
8049,80,MN,1900,residential,4853,3
6485,150,MN,1900,residential,807,3
17285,91,MN,1850,residential,148,3
781,36,BK,1850,residential,71,0
15442,169,MN,1990,industrial,4829,3
17896,224,MN,1900,commercial,1480,3
4954,229,MN,1990,residential,328,3
140402,60,SI,1930,residential,8971,2
37743,301,QN,1990,residential,6280,1
100293,28,MN,1960,commercial,11006,2
18377,355,MN,1990,industrial,5209,1
35050,306,MN,1930,industrial,1299,1
2064,63,MN,1900,commercial,770,3
20492,239,QN,1960,residential,1302,1
32520,595,BK,1990,commercial,1336,1
716,36,MN,1850,residential,191,3
16156,230,MN,1990,residential,925,3
10629,114,MN,1990,commercial,721,3
139709,258,BK,1960,residential,3637,2
30244,208,MN,1990,commercial,7864,1
47591,239,QN,1960,industrial,5957,1
35647,476,MN,1930,residential,4853,1
5871,122,MN,1900,commercial,292,3
12207,239,QN,1960,residential,1456,3
1688,58,MN,1930,residential,174,3
7714,143,MN,1990,residential,231,3
28015,226,MN,1990,residential,10113,4
21675,241,QN,1960,residential,914,1
550,35,QN,1900,commercial,79,0
29251,548,MN,1960,commercial,2569,1
8272,151,MN,1960,residential,2960,3
17912,60,BX,1990,residential,501,0
22348,30,BK,1930,commercial,773,0
58969,219,MN,1930,commercial,3389,1
885,43,BK,1850,residential,475,0
155406,646,MN,1960,residential,3321,2
6399,25,MN,1930,commercial,4440,3
9830,129,MN,1990,residential,2560,3
50858,47,QN,1990,residential,2176,0
23980,52,QN,1930,commercial,2787,0
1103,57,MN,1900,residential,87,3
