green_roof_area,building_area,ratio_green_area,construction_year,roof_height,ground_elev,digitized,borough,xcoord,ycoord,area_type
1123,9029,0.12,1990,24,65,0,BX,-73.90907,40.8497,residential
246,8939,0.03,1990,135,30,0,MN,-73.99606,40.74088,residential
1054,6994,0.15,1900,34,42,1,BK,-73.97778,40.686,commercial
966,20452,0.05,1930,48,24,1,BX,-73.91385,40.81154,commercial
185,23432,0.01,1900,180,12,0,MN,-74.00548,40.72917,public
1961,14925,0.13,1990,363,86,0,MN,-73.97041,40.79703,industrial
630,10848,0.06,1960,382,16,0,MN,-73.95007,40.76809,residential
1736,19852,0.09,1990,450,33,0,MN,-73.99239,40.74406,residential
422,33931,0.01,1960,289,88,0,MN,-73.95592,40.78017,commercial
1109,5961,0.19,1990,49,88,0,BK,-73.9895,40.66506,commercial
195,2260,0.09,1900,76,49,0,MN,-73.97098,40.76573,commercial
176,1481,0.12,1850,35,91,0,BK,-73.99247,40.66049,residential
5395,37114,0.15,1990,73,24,0,BX,-73.84694,40.83501,residential
3102,76799,0.04,1900,178,10,0,MN,-74.00847,40.73639,industrial
424,2559,0.17,1900,40,9,0,QN,-73.95161,40.74546,commercial
1384,16210,0.09,1900,138,55,0,MN,-73.94995,40.78614,industrial
6197,26427,0.23,1930,67,71,0,QN,-73.83539,40.71979,residential
316,20546,0.02,1900,316,26,0,MN,-73.99865,40.74092,residential
8144,52983,0.15,1960,700,44,1,MN,-73.98612,40.75782,commercial
1009,8154,0.12,1900,151,40,0,MN,-73.99125,40.72912,commercial
183,4307,0.04,1900,104,31,0,MN,-73.99602,40.74983,industrial
606,37731,0.02,1930,138,65,0,MN,-73.9718,40.74837,residential
240,21553,0.01,1960,185,46,0,MN,-73.96734,40.75953,residential
214,24772,0.01,1960,332,37,0,MN,-73.95478,40.76596,commercial
5815,26256,0.22,1990,87,20,0,BK,-73.94318,40.70264,residential
1549,15491,0.1,1990,87,37,0,MN,-73.99693,40.71745,residential
610,133204,0.0,1930,320,43,0,MN,-73.98971,40.75079,commercial
1009,22231,0.05,1990,212,26,0,MN,-73.94458,40.77611,commercial
2601,26020,0.1,1990,320,11,0,MN,-74.00535,40.72354,residential
27247,41670,0.65,1900,87,27,1,QN,-73.92535,40.75194,industrial
662,6098,0.11,1900,92,12,0,MN,-74.00919,40.73496,industrial
1668,16459,0.1,1960,58,28,0,MN,-73.99994,40.73247,commercial
216,1053,0.21,1900,39,67,0,BK,-73.97175,40.69103,residential
304,1894,0.16,1900,89,67,0,MN,-73.96273,40.7759,residential
7457,18317,0.41,1930,342,35,0,MN,-73.97444,40.75028,commercial
255,860,0.3,1850,40,17,0,MN,-74.00131,40.73258,commercial
1367,9617,0.14,1990,214,59,0,MN,-73.95083,40.78641,residential
1646,24110,0.07,1990,73,11,0,MN,-73.9444,40.7893,commercial
858,1979,0.43,1900,16,13,0,MN,-74.00804,40.7367,residential
305,40514,0.01,1900,220,39,0,MN,-73.99451,40.72839,commercial
744,15645,0.05,1900,284,53,0,MN,-73.96625,40.76435,commercial
3433,12881,0.27,1990,132,-4,1,MN,-73.99815,40.72998,commercial
444,6048,0.07,1900,74,17,1,MN,-73.94077,40.79947,residential
804,17831,0.05,1990,80,8,0,MN,-74.00573,40.74603,residential
5365,7298,0.74,1990,26,12,0,BX,-73.84392,40.81786,commercial
540,5127,0.11,1990,267,42,0,MN,-73.99518,40.75217,industrial
1680,4885,0.34,1900,79,33,0,MN,-73.94393,40.80164,commercial
1181,59798,0.02,1900,85,10,0,BK,-73.96408,40.71844,residential
1740,12389,0.14,1960,160,49,0,BX,-73.92442,40.84703,residential
499,16188,0.03,1930,142,6,0,BK,-73.99569,40.70221,residential
